21, Jaideva,Goswami,,
22, John,Foreman,,
23, Stephen,Hawking,,
24, Stephen,Dubner,,
25, Edward,Said,,
26, Vladimir,Vapnik,,
27, V P,Menon,,
28, Leonard,Mlodinow,,
29, Frank,Shih,,
30, Maria,Konnikova,,
31,,Sebastian Gutierrez,,
32, Kurt,Vonnegut,,
33, Cedric,Villani,,
34, Gerald,Sussman,,
35, Abraham,Eraly,,
36, Frank,Kafka,,
37, John,Pratt,,
38, Robert,Nisbet,,
39, H. G.,Wells,,
40, Werner,Heisenberg,,
41, Andy,Oram,,
42, Terence,Tao,,
43, Drew,Conway,,
44, Nate,Silver,,
45, Wes,McKinney,,
46, Thomas,Cormen,,
47, Siddhartha,Deb,,
48, Albert,Camus,,
49, Arthur Conan,Doyle,,
50, Adam,Smith,,
51, Ken,Follett,,
52, Adolf,Hitler,,
53, Fritjof,Capra,,
54, Richard,Feynman,,
55, Ernest,Hemingway,,
56, Frederick,Forsyth,,
57, Jeffery,Archer,,
58, Randy,Pausch,,
59, Ayn,Rand,,
60, Michael,Crichton,,
61, John,Steinbeck,,
62, Edgar Allen,Poe,,
63, Will,Durant,,
64, P L,Deshpande,,
65, John,Grisham,,
66, V. S.,Naipaul,,
67, Joseph,Heller,,
68,,BBC,,
69, Bob,Dylan,,
70, Madan,Gupta,,
71, Alfred,Stonier,,
72, W. H.,Greene,,
73, Gary,Bradsky,,
74, Andrew,Tanenbaum,,
75, David,Forsyth,,
76, Schilling,Taub,,
77, Yashwant,Kanetkar,,
78, Jonathan,Stroud,,
79, Fyodor,Dostoevsky,,
80, Dan,Brown,,
81, Amartya,Sen,,
82, Amitav,Ghosh,,
83, Lorraine,Hansberry,,
84, Bob,Woodward,,
85, Kuldip,Nayar,,
86, Sunita,Deshpande,,
87, William,Dalrymple,,
88,,Various,,
89, Sanjay,Garg,,
90,,Unkown,,
91, V P,Kale,,
92, Shashi,Tharoor,,
93, Dominique,Lapierre,,
94, Bertrand,Russell,,
95, Sam,Harris,,
96, Earle Stanley,Gardner,,
97, Peter,Drucker,,
98, David,Bodanis,,
99, Victor,Hugo,,
100, Richard,Gordon,,
101, George,Orwell,,
102, Lee,Iacoca,,
103, William S,Maugham,,
104, Robert,Pirsig,,
105, Robert,Fisk,,
106, Amir,Aczel,,
107, Samuel,Huntington,,
108, Richard,Bach,,
109,,Braithwaite,,
110, V S,Naipaul,,
111, Jawaharlal,Nehru,,
112, Gerald,Durrell,,
113, H G,Wells,,
114, Simon,Singh,,
115, Hart,Duda,,
116, Thomas,Friedman,,
117, Keith,Devlin,,
118, James,Gleick,,
119, Joy,Thomas,,
120, Muhammad,Rashid,,
121, Ned,Mohan,,
122, Simon,Haykin,,
123, Alex,Rutherford,,
124, Michael,Baz-Zohar,,
125, Jim,Corbett,,
126, Jules,Verne,,
127,,Deshpande P L,,
128, Eric,Raymond,,
129, Sergio,Franco,,
130, Allen,Downey,,
131, Morris,West,,
132, Phillip,Janert,,
133, Carl,Sagan,,
134, E T,Bell,,
135, Richard,Dawkins,,
136, Sudhanshu,Ranjan,,
137,,Kautiyla,,
138,,Palkhivala,,
139,,Sorabjee,,
140, Hussain,Zaidi,,
141, Peter,Ackroyd,,
142,,Nariman,,
143, Jean,Sassoon,,
144, Peter,Dickinson,,
145,,Machiavelli,,
146, Aldous,Huxley,,
147, J K,Rowling,,
148, Steig,Larsson,,
149, Steve,Eddins,,
150, Charles,Dickens,,
